task_name_en,ai_service_name,relevance_score
Coding/Implementation,GitHub Copilot,0.95
Coding/Implementation,Claude Code,0.90
Coding/Implementation,Cursor,0.90
Coding/Implementation,Replit Ghostwriter,0.85
Coding/Implementation,Amazon CodeWhisperer,0.85
Coding/Implementation,Tabnine,0.80
Debugging,GitHub Copilot,0.80
Debugging,Claude Code,0.85
Debugging,Cursor,0.80
Code Review,GitHub Copilot,0.75
Code Review,Claude Code,0.80
Refactoring,GitHub Copilot,0.80
Refactoring,Claude Code,0.85
Refactoring,Cursor,0.80
Test Writing,GitHub Copilot,0.85
Test Writing,Claude Code,0.80
Test Writing,Cursor,0.80
API Development,GitHub Copilot,0.80
API Development,Claude Code,0.85
Database Design,ChatGPT,0.70
Database Design,Claude Code,0.75
Database Design,GitHub Copilot,0.70
Frontend Integration,GitHub Copilot,0.80
Frontend Integration,Claude Code,0.85
Frontend Integration,Cursor,0.80
Frontend Integration,v0 by Vercel,0.85
Performance Optimization,GitHub Copilot,0.70
Performance Optimization,Claude Code,0.75
Version Control,GitHub Copilot,0.65
Version Control,ChatGPT,0.60
Package Management,GitHub Copilot,0.70
Requirements Analysis,ChatGPT,0.70
Requirements Analysis,Notion AI,0.65
Requirements Analysis,Microsoft Copilot,0.65
User Research,ChatGPT,0.60
Roadmap Planning,ChatGPT,0.60
Data Analysis,ChatGPT,0.65
Data Analysis,Tableau,0.75
Data Analysis,Power BI,0.75
Market Research,ChatGPT,0.65
Stakeholder Management,ChatGPT,0.50
Stakeholder Management,Grammarly,0.60
Stakeholder Management,Notion AI,0.55
UI/UX Design,Figma AI,0.85
UI/UX Design,Framer AI,0.80
UI/UX Design,Midjourney,0.70
UI/UX Design,Adobe Firefly,0.75
UI/UX Design,v0 by Vercel,0.85
Prototyping,Figma AI,0.80
Prototyping,Framer AI,0.85
Prototyping,v0 by Vercel,0.85
Prototyping,Lovable,0.80
Design System Management,Figma AI,0.75
Visual Design,Midjourney,0.90
Visual Design,DALL-E 3,0.90
Visual Design,Adobe Firefly,0.85
Visual Design,Canva AI,0.80
Visual Design,Figma AI,0.75
Visual Design,Stable Diffusion,0.85
Wireframing,Figma AI,0.75
Interaction Design,Figma AI,0.75
Interaction Design,Framer AI,0.80
Deployment,GitHub Actions,0.80
Deployment,Jenkins X,0.75
Monitoring,DataRobot,0.70
Monitoring,H2O.ai,0.65
Infrastructure Setup,Zapier,0.60
Infrastructure Setup,IFTTT,0.60
CI/CD Configuration,GitHub Actions,0.85
CI/CD Configuration,Jenkins X,0.75
Log Analysis,Tableau,0.65
Log Analysis,Power BI,0.65
Incident Response,UiPath,0.65
Incident Response,Automation Anywhere,0.65
Capacity Planning,DataRobot,0.65
Capacity Planning,H2O.ai,0.60
Backup Management,UiPath,0.70
Backup Management,Automation Anywhere,0.70
Container Management,Zapier,0.60
Container Management,IFTTT,0.55
Security Audit,GitHub Copilot,0.70
Security Audit,Claude Code,0.70
Penetration Testing,ChatGPT,0.50
Security Monitoring,DataRobot,0.65
Security Monitoring,H2O.ai,0.60
Access Control,Salesforce Einstein,0.60
Compliance Management,Salesforce Einstein,0.65
Documentation,ChatGPT,0.80
Documentation,Claude Code,0.85
Documentation,GitHub Copilot,0.75
Documentation,Notion AI,0.75
Documentation,Grammarly,0.70
Documentation,Jasper AI,0.75
Documentation,Writesonic,0.70
Meeting Facilitation,ChatGPT,0.40
Meeting Facilitation,Otter.ai,0.75
Presentation,ChatGPT,0.45
Technical Writing,ChatGPT,0.75
Technical Writing,Grammarly,0.70
Technical Writing,GitHub Copilot,0.70
Technical Writing,Jasper AI,0.75
Technical Writing,Copy.ai,0.70
Technical Writing,Writesonic,0.70
Knowledge Sharing,ChatGPT,0.50
Knowledge Sharing,Notion AI,0.60
Sprint Planning,ChatGPT,0.55
Code Architecture,ChatGPT,0.60
Code Architecture,GitHub Copilot,0.65
Code Architecture,Claude Code,0.70
Technology Research,ChatGPT,0.65
Technology Research,Perplexity AI,0.75
Technology Research,Consensus,0.70
Technology Research,Elicit,0.70
Technology Research,Semantic Scholar,0.65
Technology Research,Google Bard,0.65
Load Testing,GitHub Copilot,0.65
Load Testing,Claude Code,0.60
Automated Testing,GitHub Copilot,0.80
Automated Testing,Claude Code,0.75
Automated Testing,Cursor,0.75
Data Migration,ChatGPT,0.65
Data Migration,Claude Code,0.70
Incident Postmortem,ChatGPT,0.55
Incident Postmortem,Notion AI,0.60
