name,description,url,release_year,category
GitHub Copilot,AI 코드 자동완성 및 제안,https://github.com/features/copilot,2021,Coding
ChatGPT,대화형 AI 어시스턴트,https://chat.openai.com,2022,General AI
Claude Code,Anthropic의 AI 코딩 어시스턴트,https://claude.ai/code,2024,Coding
Codex,OpenAI의 코드 생성 모델,https://openai.com/blog/openai-codex,2021,Coding
Tabnine,AI 기반 코드 자동완성,https://www.tabnine.com,2018,Coding
Replit Ghostwriter,Replit의 AI 페어 프로그래밍,https://replit.com/ai,2022,Coding
Amazon CodeWhisperer,AWS의 AI 코드 생성기,https://aws.amazon.com/codewhisperer,2022,Coding
Cursor,AI 기반 코드 에디터,https://cursor.sh,2023,Coding
Lovable,AI 웹 앱 빌더,https://lovable.dev,2024,Coding
v0 by Vercel,AI UI 생성기,https://v0.dev,2023,Design
Midjourney,AI 이미지 생성,https://www.midjourney.com,2022,Design
DALL-E 3,텍스트를 이미지로 변환,https://openai.com/dall-e-3,2023,Design
Stable Diffusion,오픈소스 이미지 생성 AI,https://stability.ai,2022,Design
Adobe Firefly,Adobe의 AI 크리에이티브 도구,https://firefly.adobe.com,2023,Design
Canva AI,AI 기반 디자인 도구,https://www.canva.com/ai-image-generator,2023,Design
Figma AI,Figma의 AI 디자인 어시스턴트,https://www.figma.com/ai,2024,Design
Framer AI,AI 웹사이트 빌더,https://www.framer.com/ai,2023,Design
Jasper AI,AI 콘텐츠 작성 도구,https://www.jasper.ai,2021,Writing
Copy.ai,AI 마케팅 카피 생성,https://www.copy.ai,2021,Writing
Writesonic,AI 글쓰기 어시스턴트,https://writesonic.com,2021,Writing
Grammarly,AI 문법 및 스타일 검사,https://www.grammarly.com,2009,Writing
Notion AI,Notion의 AI 어시스턴트,https://www.notion.so/product/ai,2023,Writing
Google Bard,Google의 대화형 AI,https://bard.google.com,2023,General AI
Microsoft Copilot,Microsoft의 AI 어시스턴트,https://copilot.microsoft.com,2023,General AI
Perplexity AI,AI 검색 엔진,https://www.perplexity.ai,2022,Research
Consensus,AI 연구 논문 검색,https://consensus.app,2022,Research
Elicit,AI 연구 어시스턴트,https://elicit.org,2021,Research
Semantic Scholar,AI 학술 검색,https://www.semanticscholar.org,2015,Research
Otter.ai,AI 음성-텍스트 변환,https://otter.ai,2016,Transcription
Descript,AI 오디오/비디오 편집,https://www.descript.com,2017,Media
Runway,AI 비디오 생성 및 편집,https://runwayml.com,2018,Media
Synthesia,AI 비디오 생성,https://www.synthesia.io,2017,Media
ElevenLabs,AI 음성 생성,https://elevenlabs.io,2022,Media
Murf AI,AI 보이스오버 생성,https://murf.ai,2020,Media
GitHub Actions,자동화된 CI/CD,https://github.com/features/actions,2018,DevOps
Jenkins X,AI 지원 CI/CD,https://jenkins-x.io,2018,DevOps
DataRobot,자동화된 머신러닝,https://www.datarobot.com,2012,Data Science
H2O.ai,오픈소스 ML 플랫폼,https://h2o.ai,2011,Data Science
Tableau,AI 데이터 분석,https://www.tableau.com,2003,Data Analysis
Power BI,Microsoft AI 분석,https://powerbi.microsoft.com,2013,Data Analysis
Zapier,워크플로우 자동화,https://zapier.com,2011,Automation
IFTTT,조건부 자동화,https://ifttt.com,2010,Automation
UiPath,RPA 자동화,https://www.uipath.com,2005,Automation
Automation Anywhere,AI RPA 플랫폼,https://www.automationanywhere.com,2003,Automation
Salesforce Einstein,AI CRM 어시스턴트,https://www.salesforce.com/einstein,2016,Business
HubSpot AI,마케팅 자동화 AI,https://www.hubspot.com/artificial-intelligence,2023,Business
Zendesk AI,고객 서비스 AI,https://www.zendesk.com/service/ai,2023,Customer Service
Intercom Fin,AI 고객 지원,https://www.intercom.com/ai,2023,Customer Service
Drift,대화형 마케팅 AI,https://www.drift.com,2015,Customer Service
Ada,자동화된 고객 서비스,https://www.ada.cx,2016,Customer Service
