occupation_name_en,task_name_en
Product Manager,Requirements Analysis
Product Manager,User Research
Product Manager,Roadmap Planning
Product Manager,Data Analysis
Product Manager,Market Research
Product Manager,Stakeholder Management
Product Manager,Documentation
Product Manager,Meeting Facilitation
Product Manager,Presentation
Product Manager,Sprint Planning
Product Owner,Requirements Analysis
Product Owner,User Research
Product Owner,Roadmap Planning
Product Owner,Data Analysis
Product Owner,Stakeholder Management
Product Owner,Documentation
Product Owner,Meeting Facilitation
Product Owner,Sprint Planning
Product Owner,User Testing
Business Analyst,Requirements Analysis
Business Analyst,User Research
Business Analyst,Data Analysis
Business Analyst,Market Research
Business Analyst,Stakeholder Management
Business Analyst,Documentation
Business Analyst,Technical Writing
Business Analyst,Presentation
Technical Planner,Requirements Analysis
Technical Planner,Roadmap Planning
Technical Planner,Data Analysis
Technical Planner,Technology Research
Technical Planner,Documentation
Technical Planner,Technical Writing
Technical Planner,Code Architecture
Technical Planner,Sprint Planning
Product Designer,Requirements Analysis
Product Designer,User Research
Product Designer,UI/UX Design
Product Designer,Prototyping
Product Designer,User Testing
Product Designer,Wireframing
Product Designer,Interaction Design
Product Designer,Design System Management
Product Designer,Presentation
UI/UX Designer,UI/UX Design
UI/UX Designer,Prototyping
UI/UX Designer,Design System Management
UI/UX Designer,User Testing
UI/UX Designer,Visual Design
UI/UX Designer,Wireframing
UI/UX Designer,Interaction Design
UI/UX Designer,Documentation
Graphic Designer,Visual Design
Graphic Designer,UI/UX Design
Graphic Designer,Design System Management
Graphic Designer,Prototyping
Graphic Designer,Documentation
Interaction Designer,UI/UX Design
Interaction Designer,Prototyping
Interaction Designer,Interaction Design
Interaction Designer,User Testing
Interaction Designer,Wireframing
Interaction Designer,Design System Management
Interaction Designer,Documentation
Frontend Developer,Coding/Implementation
Frontend Developer,Debugging
Frontend Developer,Code Review
Frontend Developer,Refactoring
Frontend Developer,Test Writing
Frontend Developer,Frontend Integration
Frontend Developer,Performance Optimization
Frontend Developer,Version Control
Frontend Developer,UI/UX Design
Frontend Developer,Package Management
Frontend Developer,Documentation
Web Publisher,Coding/Implementation
Web Publisher,Frontend Integration
Web Publisher,UI/UX Design
Web Publisher,Version Control
Web Publisher,Package Management
Web Publisher,Documentation
Web Publisher,Performance Optimization
Mobile Developer (iOS),Coding/Implementation
Mobile Developer (iOS),Debugging
Mobile Developer (iOS),Code Review
Mobile Developer (iOS),Refactoring
Mobile Developer (iOS),Test Writing
Mobile Developer (iOS),Frontend Integration
Mobile Developer (iOS),Performance Optimization
Mobile Developer (iOS),Version Control
Mobile Developer (iOS),Package Management
Mobile Developer (iOS),Documentation
